Date,MW
1990-01-01,57492.0
1990-02-01,60841.0
1990-03-01,53980.0
1990-04-01,36202.0
1990-05-01,28100.0
1990-06-01,23593.0
1990-07-01,21316.0
1990-08-01,25463.0
1990-09-01,26246.0
1990-10-01,20358.0
1990-11-01,27336.0
1990-12-01,62655.0
1991-01-01,79711.0
1991-02-01,41397.0
1991-03-01,43143.0
1991-04-01,34741.0
1991-05-01,29663.0
1991-06-01,23024.0
1991-07-01,24399.0
1991-08-01,22020.0
1991-09-01,25830.0
1991-10-01,26548.0
1991-11-01,24366.0
1991-12-01,25119.0
1992-01-01,47675.0
1992-02-01,64956.0
1992-03-01,67589.0
1992-04-01,68237.0
1992-05-01,39812.0
1992-06-01,29407.0
1992-07-01,24668.0
1992-08-01,19672.0
1992-09-01,17125.0
1992-10-01,26392.0
1992-11-01,22818.0
1992-12-01,35153.0
1993-01-01,59939.0
1993-02-01,85850.0
1993-03-01,55549.0
1993-04-01,50229.0
1993-05-01,49954.0
1993-06-01,34213.0
1993-07-01,26046.0
1993-08-01,22294.0
1993-09-01,27881.0
1993-10-01,33842.0
1993-11-01,45942.0
1993-12-01,53800.0
1994-01-01,47618.0
1994-02-01,68043.0
1994-03-01,55607.0
1994-04-01,46683.0
1994-05-01,32297.0
1994-06-01,31268.0
1994-07-01,23083.0
1994-08-01,20688.0
1994-09-01,23187.0
1994-10-01,29337.0
1994-11-01,21151.0
1994-12-01,35122.0
1995-01-01,64242.0
1995-02-01,51156.0
1995-03-01,60587.0
1995-04-01,43217.0
1995-05-01,31965.0
1995-06-01,28561.0
1995-07-01,24260.0
1995-08-01,18859.0
1995-09-01,15101.0
1995-10-01,15980.0
1995-11-01,23728.0
1995-12-01,36155.0
1996-01-01,52033.0
1996-02-01,83089.0
1996-03-01,51899.0
1996-04-01,46963.0
1996-05-01,34553.0
1996-06-01,24851.0
1996-07-01,23659.0
1996-08-01,16810.0
1996-09-01,15453.0
1996-10-01,25645.0
1996-11-01,25113.0
1996-12-01,33841.0
1997-01-01,54705.0
1997-02-01,40757.0
1997-03-01,53675.0
1997-04-01,36294.0
1997-05-01,26398.0
1997-06-01,20891.0
1997-07-01,18138.0
1997-08-01,15966.0
1997-09-01,21040.0
1997-10-01,21942.0
1997-11-01,36214.0
1997-12-01,45654.0
1998-01-01,91733.0
1998-02-01,72623.0
1998-03-01,57340.0
1998-04-01,44941.0
1998-05-01,32515.0
1998-06-01,39236.0
1998-07-01,28081.0
1998-08-01,21218.0
1998-09-01,20253.0
1998-10-01,24862.0
1998-11-01,33307.0
1998-12-01,50420.0
1999-01-01,42917.0
1999-02-01,53523.0
1999-03-01,55192.0
1999-04-01,45015.0
1999-05-01,34691.0
